Date,Price,Open,High,Low,Vol.,Change %
11/01/23,"1,126.00","1,126.00","1,126.00","1,126.00",,-5.30%
10/01/23,"1,189.00","1,189.00","1,189.00","1,189.00",,-4.88%
09/01/23,"1,250.00","1,250.00","1,250.00","1,250.00",,-3.77%
06/01/23,"1,299.00","1,299.00","1,299.00","1,299.00",,-2.48%
05/01/23,"1,332.00","1,332.00","1,332.00","1,332.00",,-3.34%
04/01/23,"1,378.00","1,378.00","1,378.00","1,378.00",,-4.17%
03/01/23,"1,438.00","1,438.00","1,438.00","1,438.00",,-6.32%
23/12/22,"1,535.00","1,535.00","1,535.00","1,535.00",,-1.79%
22/12/22,"1,563.00","1,563.00","1,563.00","1,563.00",,-2.19%
21/12/22,"1,598.00","1,598.00","1,598.00","1,598.00",,-1.48%
20/12/22,"1,622.00","1,622.00","1,622.00","1,622.00",,-1.40%
19/12/22,"1,645.00","1,645.00","1,645.00","1,645.00",,-0.42%
16/12/22,"1,652.00","1,652.00","1,652.00","1,652.00",,-0.36%
15/12/22,"1,658.00","1,658.00","1,658.00","1,658.00",,0.91%
14/12/22,"1,643.00","1,643.00","1,643.00","1,643.00",,0.61%
13/12/22,"1,633.00","1,633.00","1,633.00","1,633.00",,-0.61%
12/12/22,"1,643.00","1,643.00","1,643.00","1,643.00",,-0.96%
09/12/22,"1,659.00",0,0,0,,-0.12%
08/12/22,"1,661.00","1,661.00","1,661.00","1,661.00",,0.12%
07/12/22,"1,659.00","1,659.00","1,659.00","1,659.00",,0.12%
06/12/22,"1,657.00","1,657.00","1,657.00","1,657.00",,1.16%
05/12/22,"1,638.00","1,638.00","1,638.00","1,638.00",,1.24%
02/12/22,"1,618.00","1,618.00","1,618.00","1,618.00",,1.00%
01/12/22,"1,602.00","1,602.00","1,602.00","1,602.00",,2.17%
30/11/22,"1,568.00","1,568.00","1,568.00","1,568.00",,2.89%
29/11/22,"1,524.00","1,524.00","1,524.00","1,524.00",,1.87%
28/11/22,"1,496.00","1,496.00","1,496.00","1,496.00",,1.15%
25/11/22,"1,479.00","1,479.00","1,479.00","1,479.00",,0.89%
24/11/22,"1,466.00","1,466.00","1,466.00","1,466.00",,0.14%
23/11/22,"1,464.00","1,464.00","1,464.00","1,464.00",,-2.14%
22/11/22,"1,496.00","1,496.00","1,496.00","1,496.00",,-3.42%
21/11/22,"1,549.00","1,549.00","1,549.00","1,549.00",,-2.82%
18/11/22,"1,594.00","1,594.00","1,594.00","1,594.00",,-3.39%
17/11/22,"1,650.00","1,650.00","1,650.00","1,650.00",,-2.25%
16/11/22,"1,688.00","1,688.00","1,688.00","1,688.00",,0.42%
15/11/22,"1,681.00","1,681.00","1,681.00","1,681.00",,0.84%
14/11/22,"1,667.00","1,667.00","1,667.00","1,667.00",,1.83%
11/11/22,"1,637.00","1,637.00","1,637.00","1,637.00",,1.11%
10/11/22,"1,619.00","1,619.00","1,619.00","1,619.00",,-1.34%
09/11/22,"1,641.00","1,641.00","1,641.00","1,641.00",,-1.68%
08/11/22,"1,669.00","1,669.00","1,669.00","1,669.00",,-1.59%
07/11/22,"1,696.00","1,696.00","1,696.00","1,696.00",,-0.24%
04/11/22,"1,700.00","1,700.00","1,700.00","1,700.00",,0.06%
03/11/22,"1,699.00","1,699.00","1,699.00","1,699.00",,0.95%
02/11/22,"1,683.00","1,683.00","1,683.00","1,683.00",,-0.77%
01/11/22,"1,696.00","1,696.00","1,696.00","1,696.00",,-2.81%
31/10/22,"1,745.00","1,745.00","1,745.00","1,745.00",,-3.96%
28/10/22,"1,817.00","1,817.00","1,817.00","1,817.00",,-4.37%
27/10/22,"1,900.00","1,900.00","1,900.00","1,900.00",,-5.33%
26/10/22,"2,007.00","2,007.00","2,007.00","2,007.00",,-3.18%
25/10/22,"2,073.00","2,073.00","2,073.00","2,073.00",,-1.89%
24/10/22,"2,113.00","2,113.00","2,113.00","2,113.00",,-1.45%
21/10/22,"2,144.00","2,144.00","2,144.00","2,144.00",,-0.79%
20/10/22,"2,161.00","2,161.00","2,161.00","2,161.00",,-0.14%
19/10/22,"2,164.00","2,164.00","2,164.00","2,164.00",,1.31%
18/10/22,"2,136.00","2,136.00","2,136.00","2,136.00",,2.30%
17/10/22,"2,088.00","2,088.00","2,088.00","2,088.00",,0.34%
14/10/22,"2,081.00","2,081.00","2,081.00","2,081.00",,-0.34%
13/10/22,"2,088.00","2,088.00","2,088.00","2,088.00",,-2.75%
12/10/22,"2,147.00","2,147.00","2,147.00","2,147.00",,-2.23%
11/10/22,"2,196.00","2,196.00","2,196.00","2,196.00",,-1.44%
10/10/22,"2,228.00","2,228.00","2,228.00","2,228.00",,-0.31%
07/10/22,"2,235.00","2,235.00","2,235.00","2,235.00",,0.13%
06/10/22,"2,232.00","2,232.00","2,232.00","2,232.00",,1.22%
05/10/22,"2,205.00","2,205.00","2,205.00","2,205.00",,4.50%
04/10/22,"2,110.00","2,110.00","2,110.00","2,110.00",,1.34%
03/10/22,"2,082.00","2,082.00","2,082.00","2,082.00",,0.00%
30/09/22,"2,082.00","2,082.00","2,082.00","2,082.00",,0.92%
29/09/22,"2,063.00","2,063.00","2,063.00","2,063.00",,2.03%
28/09/22,"2,022.00","2,022.00","2,022.00","2,022.00",,1.20%
27/09/22,"1,998.00","1,998.00","1,998.00","1,998.00",,0.30%
26/09/22,"1,992.00","1,992.00","1,992.00","1,992.00",,-0.15%
23/09/22,"1,995.00","1,995.00","1,995.00","1,995.00",,-0.15%
22/09/22,"1,998.00","1,998.00","1,998.00","1,998.00",,-1.14%
21/09/22,"2,021.00","2,021.00","2,021.00","2,021.00",,-0.10%
20/09/22,"2,023.00","2,023.00","2,023.00","2,023.00",,1.66%
16/09/22,"1,990.00","1,990.00","1,990.00","1,990.00",,-4.78%
15/09/22,"2,090.00","2,090.00","2,090.00","2,090.00",,-2.56%
14/09/22,"2,145.00","2,145.00","2,145.00","2,145.00",,3.42%
13/09/22,"2,074.00","2,074.00","2,074.00","2,074.00",,7.91%
12/09/22,"1,922.00","1,922.00","1,922.00","1,922.00",,3.06%
09/09/22,"1,865.00","1,865.00","1,865.00","1,865.00",,6.15%
08/09/22,"1,757.00","1,757.00","1,757.00","1,757.00",,11.41%
07/09/22,"1,577.00","1,577.00","1,577.00","1,577.00",,11.61%
06/09/22,"1,413.00","1,413.00","1,413.00","1,413.00",,6.48%
05/09/22,"1,327.00","1,327.00","1,327.00","1,327.00",,4.41%
02/09/22,"1,271.00","1,271.00","1,271.00","1,271.00",,3.33%
01/09/22,"1,230.00","1,230.00","1,230.00","1,230.00",,1.07%
31/08/22,"1,217.00","1,217.00","1,217.00","1,217.00",,-5.22%
30/08/22,"1,284.00","1,284.00","1,284.00","1,284.00",,-6.41%
26/08/22,"1,372.00","1,372.00","1,372.00","1,372.00",,-3.65%
25/08/22,"1,424.00","1,424.00","1,424.00","1,424.00",,-4.49%
24/08/22,"1,491.00","1,491.00","1,491.00","1,491.00",,-5.15%
23/08/22,"1,572.00","1,572.00","1,572.00","1,572.00",,-4.44%
22/08/22,"1,645.00","1,645.00","1,645.00","1,645.00",,-2.55%
19/08/22,"1,688.00",0,0,0,,-3.49%
18/08/22,"1,749.00","1,749.00","1,749.00","1,749.00",,-3.10%
17/08/22,"1,805.00","1,805.00","1,805.00","1,805.00",,-2.43%
16/08/22,"1,850.00","1,850.00","1,850.00","1,850.00",,-1.86%
15/08/22,"1,885.00","1,885.00","1,885.00","1,885.00",,-1.15%
12/08/22,"1,907.00","1,907.00","1,907.00","1,907.00",,-1.04%
11/08/22,"1,927.00","1,927.00","1,927.00","1,927.00",,-0.26%
