"Date","Price","Open","High","Low","Vol.","Change %"
"19-11-2021","1,561.00","1,561.00","1,561.00","1,561.00","","-0.76%"
"18-11-2021","1,573.00","1,573.00","1,573.00","1,573.00","","-0.57%"
"17-11-2021","1,582.00","1,582.00","1,582.00","1,582.00","","-0.75%"
"16-11-2021","1,594.00","1,594.00","1,594.00","1,594.00","","-0.56%"
"15-11-2021","1,603.00","1,603.00","1,603.00","1,603.00","","-0.62%"
"12-11-2021","1,613.00","1,613.00","1,613.00","1,613.00","","-0.80%"
"11-11-2021","1,626.00","1,626.00","1,626.00","1,626.00","","-1.28%"
"10-11-2021","1,647.00","1,647.00","1,647.00","1,647.00","","-1.08%"
"09-11-2021","1,665.00","1,665.00","1,665.00","1,665.00","","-1.42%"
"08-11-2021","1,689.00","1,689.00","1,689.00","1,689.00","","-2.14%"
"05-11-2021","1,726.00","1,726.00","1,726.00","1,726.00","","-3.47%"
"04-11-2021","1,788.00","1,788.00","1,788.00","1,788.00","","-1.32%"
"03-11-2021","1,812.00","1,812.00","1,812.00","1,812.00","","-3.46%"
"02-11-2021","1,877.00","1,877.00","1,877.00","1,877.00","","-3.45%"
"01-11-2021","1,944.00","1,944.00","1,944.00","1,944.00","","-1.42%"
"29-10-2021","1,972.00","1,972.00","1,972.00","1,972.00","","-1.89%"
"28-10-2021","2,010.00","2,010.00","2,010.00","2,010.00","","-1.28%"
"27-10-2021","2,036.00","2,036.00","2,036.00","2,036.00","","-0.97%"
"26-10-2021","2,056.00","2,056.00","2,056.00","2,056.00","","-0.29%"
"25-10-2021","2,062.00","2,062.00","2,062.00","2,062.00","","0.24%"
"22-10-2021","2,057.00","2,057.00","2,057.00","2,057.00","","0.59%"
"21-10-2021","2,045.00","2,045.00","2,045.00","2,045.00","","0.59%"
"20-10-2021","2,033.00","2,033.00","2,033.00","2,033.00","","0.44%"
"19-10-2021","2,024.00","2,024.00","2,024.00","2,024.00","","0.05%"
"18-10-2021","2,023.00","2,023.00","2,023.00","2,023.00","","0.10%"
"15-10-2021","2,021.00","2,021.00","2,021.00","2,021.00","","0.05%"
"14-10-2021","2,020.00","2,020.00","2,020.00","2,020.00","","0.15%"
"13-10-2021","2,017.00","2,017.00","2,017.00","2,017.00","","-0.05%"
"12-10-2021","2,018.00","2,018.00","2,018.00","2,018.00","","-0.10%"
"11-10-2021","2,020.00","2,020.00","2,020.00","2,020.00","","0.25%"
"08-10-2021","2,015.00","2,015.00","2,015.00","2,015.00","","0.30%"
"07-10-2021","2,009.00","2,009.00","2,009.00","2,009.00","","0.55%"
"06-10-2021","1,998.00","1,998.00","1,998.00","1,998.00","","0.20%"
"05-10-2021","1,994.00","1,994.00","1,994.00","1,994.00","","0.10%"
"04-10-2021","1,992.00","1,992.00","1,992.00","1,992.00","","0.25%"
"01-10-2021","1,987.00","1,987.00","1,987.00","1,987.00","","0.61%"
"30-09-2021","1,975.00","1,975.00","1,975.00","1,975.00","","0.92%"
"29-09-2021","1,957.00","1,957.00","1,957.00","1,957.00","","0.72%"
