"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2018","1,191.00","1,191.00","1,191.00","1,191.00","","-0.50%"
"03/26/2018","1,197.00","1,197.00","1,197.00","1,197.00","","3.46%"
"03/23/2018","1,157.00","1,157.00","1,157.00","1,157.00","","2.48%"
"03/22/2018","1,129.00","1,129.00","1,129.00","1,129.00","","1.80%"
"03/21/2018","1,109.00","1,109.00","1,109.00","1,109.00","","-0.27%"
"03/20/2018","1,112.00","1,112.00","1,112.00","1,112.00","","-5.04%"
"03/19/2018","1,171.00","1,171.00","1,171.00","1,171.00","","-2.66%"
"03/16/2018","1,203.00","1,203.00","1,203.00","1,203.00","","-2.83%"
"03/15/2018","1,238.00","1,238.00","1,238.00","1,238.00","","-5.64%"
"03/14/2018","1,312.00","1,312.00","1,312.00","1,312.00","","-3.67%"
"03/13/2018","1,362.00","1,362.00","1,362.00","1,362.00","","-4.42%"
"03/12/2018","1,425.00","1,425.00","1,425.00","1,425.00","","-3.65%"
"03/09/2018","1,479.00","1,479.00","1,479.00","1,479.00","","-0.67%"
"03/08/2018","1,489.00","1,489.00","1,489.00","1,489.00","","-0.40%"
"03/07/2018","1,495.00","1,495.00","1,495.00","1,495.00","","-5.80%"
"03/06/2018","1,587.00","1,587.00","1,587.00","1,587.00","","-0.63%"
"03/05/2018","1,597.00","1,597.00","1,597.00","1,597.00","","0.31%"
"03/02/2018","1,592.00","1,592.00","1,592.00","1,592.00","","1.53%"
"03/01/2018","1,568.00","1,568.00","1,568.00","1,568.00","","0.51%"
"02/28/2018","1,560.00","1,560.00","1,560.00","1,560.00","","-2.19%"
"02/27/2018","1,595.00","1,595.00","1,595.00","1,595.00","","-5.06%"
"02/26/2018","1,680.00","1,680.00","1,680.00","1,680.00","","-2.44%"
"02/23/2018","1,722.00","1,722.00","1,722.00","1,722.00","","-0.17%"
"02/22/2018","1,725.00","1,725.00","1,725.00","1,725.00","","0.47%"
"02/21/2018","1,717.00","1,717.00","1,717.00","1,717.00","","2.32%"
"02/20/2018","1,678.00","1,678.00","1,678.00","1,678.00","","5.07%"
"02/19/2018","1,597.00","1,597.00","1,597.00","1,597.00","","-0.68%"
"02/16/2018","1,608.00","1,608.00","1,608.00","1,608.00","","-3.31%"
"02/15/2018","1,663.00","1,663.00","1,663.00","1,663.00","","-3.37%"
"02/14/2018","1,721.00","1,721.00","1,721.00","1,721.00","","-4.02%"
"02/13/2018","1,793.00","1,793.00","1,793.00","1,793.00","","-1.70%"
"02/12/2018","1,824.00","1,824.00","1,824.00","1,824.00","","1.90%"
"02/09/2018","1,790.00","1,790.00","1,790.00","1,790.00","","7.70%"
"02/08/2018","1,662.00","1,662.00","1,662.00","1,662.00","","5.32%"
"02/07/2018","1,578.00","1,578.00","1,578.00","1,578.00","","3.88%"
"02/06/2018","1,519.00","1,519.00","1,519.00","1,519.00","","6.00%"
"02/05/2018","1,433.00","1,433.00","1,433.00","1,433.00","","-2.52%"
"02/02/2018","1,470.00","1,470.00","1,470.00","1,470.00","","-3.80%"
"02/01/2018","1,528.00","1,528.00","1,528.00","1,528.00","","-5.27%"
"01/31/2018","1,613.00","1,613.00","1,613.00","1,613.00","","-7.72%"
"01/30/2018","1,748.00","1,748.00","1,748.00","1,748.00","","-2.02%"
"01/29/2018","1,784.00","1,784.00","1,784.00","1,784.00","","0.68%"
"01/26/2018","1,772.00","1,772.00","1,772.00","1,772.00","","1.14%"
"01/25/2018","1,752.00","1,752.00","1,752.00","1,752.00","","4.53%"
"01/24/2018","1,676.00","1,676.00","1,676.00","1,676.00","","9.90%"
"01/23/2018","1,525.00","1,525.00","1,525.00","1,525.00","","5.54%"
"01/22/2018","1,445.00","1,445.00","1,445.00","1,445.00","","-3.22%"
"01/19/2018","1,493.00","1,493.00","1,493.00","1,493.00","","-7.32%"
"01/18/2018","1,611.00","1,611.00","1,611.00","1,611.00","","-7.57%"
"01/17/2018","1,743.00","1,743.00","1,743.00","1,743.00","","-13.28%"
"01/16/2018","2,010.00","2,010.00","2,010.00","2,010.00","","-9.91%"
"01/15/2018","2,231.00","2,231.00","2,231.00","2,231.00","","-2.83%"
